120,$0.99,Pixelmon Hunter,May 12 2015,2.1.0,74M,10000 - 50000,Low Maturity,Role Playing,We Games,https://play.google.com/store/apps/details?id=com.monster.pix,com.monster.pix
109,$0.99,Hyena Simulator,April 15 2015,1,46M,1000 - 5000,Low Maturity,Simulation,Gluten Free Games,https://play.google.com/store/apps/details?id=com.glutenfreegames.hyenasimulator,com.glutenfreegames.hyenasimulator
88,$2.86,Joe Danger,May 13 2015,1.0.3,107M,5000 - 10000,Low Maturity,Arcade,Hello Games Ltd,https://play.google.com/store/apps/details?id=uk.co.hellogames.jdtouch,uk.co.hellogames.jdtouch
62,$2.99,Sonic The Hedgehog,April 13 2015,2.1.1,38M,100000 - 500000,Everyone,Action,SEGA,https://play.google.com/store/apps/details?id=com.sega.sonic1,com.sega.sonic1
74,$2.99,Sonic The Hedgehog 2,April 13 2015,3.1.5,47M,100000 - 500000,Everyone,Arcade,SEGA,https://play.google.com/store/apps/details?id=com.sega.sonic2,com.sega.sonic2
93,$1.99,Jeopardy!,May 6 2015,2.7.4,40M,100000 - 500000,Low Maturity,Trivia,Sony Pictures Television,https://play.google.com/store/apps/details?id=com.gamelion.Jeopardy_HTCMyTouch3G_EN,com.gamelion.Jeopardy_HTCMyTouch3G_EN
118,$9.99,Civilization Revolution 2,December 21 2014,1.4.4,453M,10000 - 50000,Medium Maturity,Strategy,2K Games Inc.,https://play.google.com/store/apps/details?id=com.t2kgames.civrev2,com.t2kgames.civrev2
104,$4.99,GTA: Chinatown Wars,February 24 2015,1.01,883M,100000 - 500000,High Maturity,Action,Rockstar Games Inc.,https://play.google.com/store/apps/details?id=com.rockstargames.gtactw,com.rockstargames.gtactw
99,$15.99,FINAL FANTASY VI,January 21 2015,2.0.5,631M,100000 - 500000,Low Maturity,Role Playing,SQUARE ENIX Co.Ltd.,https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFVI,com.square_enix.android_googleplay.FFVI
68,$2.99,Oddworld: Stranger's Wrath,May 12 2015,Medium Maturity,50000 - 100000,4.0 and up,N/A,Action,Oddworld Inhabitants Inc,https://play.google.com/store/apps/details?id=com.oddworld.Stranger,com.oddworld.Stranger
61,$1.39,Sumotori Dreams,October 7 2014,Everyone,100000 - 500000,4.0.3 and up,N/A,Sports,gravitysensation,https://play.google.com/store/apps/details?id=com.gravitysensation.sumotori,com.gravitysensation.sumotori
102,$0.99,50% Off ULTRA4 Offroad Racing,January 20 2015,Everyone,50000 - 100000,3.0 and up,N/A,Racing,Gigabit Games,https://play.google.com/store/apps/details?id=com.GigaBitGames.Ultra4OffroadRacing,com.GigaBitGames.Ultra4OffroadRacing
105,$1.99,Phase 10,December 29 2013,1.3.3,26M,100000 - 500000,Everyone,Card,Magmic Inc,https://play.google.com/store/apps/details?id=com.magmic.phase10,com.magmic.phase10
86,$1.99,Table Tennis Touch,April 28 2015,1.1.1628.1,177M,5000 - 10000,Everyone,Sports,Yakuto,https://play.google.com/store/apps/details?id=uk.co.yakuto.TableTennisTouch,uk.co.yakuto.TableTennisTouch
111,$2.89,10000000,December 23 2014,Everyone,100000 - 500000,2.1 and up,N/A,Role Playing,EightyEight Games,https://play.google.com/store/apps/details?id=com.eightyeightgames.tenmillion,com.eightyeightgames.tenmillion
85,$4.99,Infinite Flight Simulator,May 9 2015,15.04.01,46M,100000 - 500000,Everyone,Simulation,Flying Development Studio LLC,https://play.google.com/store/apps/details?id=com.fds.infiniteflight,com.fds.infiniteflight
87,$1.99,Bridge Constructor,March 24 2015,3.3,41M,100000 - 500000,Low Maturity,Simulation,ClockStone STUDIO,https://play.google.com/store/apps/details?id=com.headupgames.bridgeconstructor,com.headupgames.bridgeconstructor
97,$1.99,Where's My Water?,March 27 2014,1.13.1,47M,1000000 - 5000000,Everyone,Puzzle,Disney,https://play.google.com/store/apps/details?id=com.disney.WMW,com.disney.WMW
115,$0.99,Delight Games (Premium),May 1 2015,1.1,11M,500 - 1000,Medium Maturity,Role Playing,Delight Games,https://play.google.com/store/apps/details?id=com.delightgames.delightgamespremium,com.delightgames.delightgamespremium
100,$2.99,Blek,March 31 2015,1.0.6,21M,50000 - 100000,Everyone,Puzzle,kunabi brother,https://play.google.com/store/apps/details?id=kb.Blek,kb.Blek
